No.,PosX,PosY,PosZ,Rx,Ry,Rz,DWNx,DWNy,DWNz,Lx,Ly,Lz,
161,0.733933918,0.365045932,-1.78082E-07,0.733934019,0.365045817,0.012699822,0.742466247,0.354329027,-3.42466E-07,0.733933816,0.365046046,-0.012700178,
162,0.73929237,0.369312096,-1.91781E-07,0.739292471,0.369311969,0.012699808,0.747824699,0.358595192,-3.69863E-07,0.739292268,0.369312223,-0.012700192,
163,0.744650808,0.373578247,-1.91781E-07,0.744650923,0.37357812,0.012699808,0.753183137,0.362861342,-3.69863E-07,0.744650694,0.373578374,-0.012700192,
164,0.75000926,0.377844411,-1.91781E-07,0.750009375,0.377844284,0.012699808,0.758541589,0.367127507,-3.69863E-07,0.750009146,0.377844538,-0.012700192,
165,0.755367712,0.382110575,-1.91781E-07,0.755367827,0.382110448,0.012699808,0.763900041,0.371393671,-3.83562E-07,0.755367598,0.382110702,-0.012700192,
166,0.760726164,0.38637674,-2.05479E-07,0.760726279,0.386376613,0.012699795,0.769258493,0.375659836,-3.9726E-07,0.76072605,0.386376867,-0.012700205,
167,0.766084616,0.390642904,-2.05479E-07,0.766084731,0.390642764,0.012699795,0.774616945,0.379926,-3.9726E-07,0.766084502,0.390643044,-0.012700205,
168,0.771443055,0.394909055,-2.05479E-07,0.771443169,0.394908915,0.012699795,0.779975384,0.384192151,-3.9726E-07,0.77144294,0.394909194,-0.012700205,
169,0.776801507,0.399175219,-2.19178E-07,0.776801634,0.399175079,0.012699781,0.785333836,0.388458315,-4.24658E-07,0.77680138,0.399175359,-0.012700219,
170,0.782159959,0.403441384,-2.19178E-07,0.782160086,0.403441244,0.012699781,0.790692288,0.392724479,-4.24658E-07,0.782159832,0.403441523,-0.012700219,
171,0.787518411,0.407707548,-2.19178E-07,0.787518538,0.407707396,0.012699781,0.79605074,0.396990644,-4.24658E-07,0.787518284,0.4077077,-0.012700219,
172,0.792876863,0.411973712,-2.32877E-07,0.79287699,0.41197356,0.012699767,0.801409192,0.401256808,-4.52055E-07,0.792876736,0.411973865,-0.012700233,
